样本号,酸解烃_甲烷,酸解烃_乙烷,酸解烃_乙烯,酸解烃_丙烷,酸解烃_丙烯,酸解烃_异丁烷,酸解烃_正丁烷,酸解烃_异戊烷,酸解烃_正戊烷,热释烃_甲烷,热释烃_乙烷,热释烃_乙烯,热释烃_丙烷,热释烃_丙烯,热释烃_异丁烷,热释烃_正丁烷,热释烃_异戊烷,热释烃_正戊烷,class
s1,624 ,26.0 ,2.17 ,8.20 ,0.17 ,1.96 ,2.03 ,0.98 ,0.44 ,8.11 ,0.14 ,0.53 ,0.08 ,1.05 ,0.03 ,0.04 ,0.01 ,0.03 ,1
s2,831 ,31.0 ,0.69 ,10.0 ,0.13 ,2.43 ,2.72 ,1.24 ,0.53 ,6.62 ,0.12 ,0.52 ,0.07 ,1.15 ,0.03 ,0.05 ,0.02 ,0.04 ,1
s3,793 ,27.2 ,0.77 ,7.17 ,0.14 ,1.51 ,1.37 ,0.42 ,0.00 ,8.04 ,0.39 ,2.34 ,0.23 ,4.19 ,0.04 ,0.12 ,0.02 ,0.09 ,1
s4,850 ,31.3 ,0.75 ,10.5 ,0.11 ,2.62 ,3.35 ,1.83 ,1.34 ,10.8 ,0.37 ,2.17 ,0.33 ,7.16 ,0.14 ,0.23 ,0.07 ,0.12 ,1
s5,611 ,19.9 ,0.74 ,5.53 ,0.09 ,1.20 ,1.13 ,0.42 ,0.00 ,13.5 ,0.37 ,0.94 ,0.13 ,1.92 ,0.09 ,0.12 ,0.03 ,0.06 ,1
s6,604 ,22.8 ,2.33 ,6.94 ,0.14 ,1.73 ,1.72 ,0.63 ,0.00 ,6.69 ,0.22 ,2.06 ,0.20 ,3.91 ,0.10 ,0.15 ,0.06 ,0.12 ,1
s7,686 ,31.2 ,0.66 ,10.6 ,0.13 ,2.58 ,2.82 ,1.30 ,0.63 ,8.01 ,0.26 ,0.47 ,0.08 ,0.67 ,0.02 ,0.08 ,0.02 ,0.05 ,1
s8,621 ,22.6 ,0.60 ,7.29 ,0.11 ,1.84 ,2.18 ,1.03 ,0.47 ,12.0 ,0.29 ,0.72 ,0.11 ,1.16 ,0.04 ,0.07 ,0.02 ,0.04 ,1
s9,578 ,26.4 ,0.92 ,8.29 ,0.13 ,1.95 ,2.03 ,0.80 ,0.22 ,7.11 ,0.16 ,0.92 ,0.08 ,0.95 ,0.07 ,0.04 ,0.02 ,0.04 ,1
s10,621 ,24.0 ,0.83 ,7.09 ,0.13 ,1.69 ,1.75 ,0.78 ,0.00 ,3.16 ,0.09 ,0.90 ,0.12 ,1.29 ,0.02 ,0.12 ,0.02 ,0.08 ,1
s11,532 ,19.8 ,0.67 ,6.66 ,0.09 ,1.73 ,2.13 ,1.18 ,0.71 ,14.9 ,0.39 ,0.73 ,0.17 ,1.81 ,0.09 ,0.18 ,0.05 ,0.16 ,1
s12,600 ,22.5 ,2.03 ,7.56 ,0.20 ,1.96 ,2.42 ,1.41 ,0.89 ,10.9 ,0.29 ,1.05 ,0.12 ,1.45 ,0.06 ,0.09 ,0.03 ,0.04 ,1
s13,501 ,18.3 ,0.97 ,5.49 ,0.00 ,1.30 ,1.35 ,0.49 ,0.00 ,13.5 ,0.34 ,0.89 ,0.16 ,1.66 ,0.07 ,0.18 ,0.05 ,0.17 ,1
s14,434 ,16.0 ,0.91 ,5.42 ,0.07 ,1.44 ,1.84 ,1.08 ,0.81 ,12.5 ,0.34 ,0.99 ,0.22 ,2.07 ,0.07 ,0.21 ,0.07 ,0.18 ,1
s15,454 ,16.4 ,1.40 ,4.86 ,0.09 ,1.16 ,1.22 ,0.52 ,0.40 ,9.92 ,0.31 ,0.69 ,0.14 ,1.21 ,0.05 ,0.11 ,0.03 ,0.11 ,1
s16,646 ,24.1 ,0.72 ,7.00 ,0.09 ,1.66 ,1.54 ,0.53 ,0.00 ,7.67 ,0.14 ,0.70 ,0.10 ,1.63 ,0.03 ,0.06 ,0.01 ,0.03 ,1
s17,645 ,23.4 ,0.75 ,7.02 ,0.08 ,1.63 ,1.66 ,0.58 ,0.00 ,8.51 ,0.23 ,0.59 ,0.10 ,1.21 ,0.05 ,0.09 ,0.02 ,0.06 ,1
s18,622 ,23.0 ,0.95 ,7.47 ,0.14 ,1.85 ,2.14 ,1.00 ,0.51 ,9.29 ,0.25 ,0.32 ,0.07 ,0.39 ,0.02 ,0.04 ,0.02 ,0.02 ,1
s19,439 ,15.7 ,0.64 ,4.97 ,0.11 ,1.22 ,1.39 ,0.62 ,0.00 ,13.4 ,0.36 ,0.68 ,0.13 ,1.18 ,0.04 ,0.11 ,0.03 ,0.08 ,1
