#OTU ID,Actinokineospora,Amycolatopsis,Aeromicrobium,Anaeromyxobacter,Anaerospora,Arthrobacter,Azoarcus,Bacillus,Corallococcus,Dechloromonas,Desulfococcus,Dokdonella,Geodermatophilus,Glycomyces,Haliangium,Haloactinospora,Halomonas,Inquilinus,Jiangella,Luteolibacter,Lysobacter,Methylibium,Methylobacterium,Methylobacillus,Methylotenera,Methylonatrum,Methylophaga,Mycobacterium,Nocardia,Nocardioides,Paenibacillus,Paracoccus,Phaeobacter,Phaeospirillum,Pimelobacter,Pleomorphomonas,Prauseria,Promicromonospora,Pseudomonas,Pseudonocardia,Ralstonia,Rhodanobacter,Rhodococcus,Rhodoplanes,Rhodospirillum,Rhodovibrio,Rubellimicrobium,Saccharopolyspora,Sphingomonas,Sporocytophaga,Streptomyces,Thermomonas,Variovorax,class
LC1,6.58E-05,0.154572679,0,0,0,0.000197453,0,0.005841314,6.58E-05,1.65E-05,0,0,9.87E-05,0.000460723,0,0,0.000115181,3.29E-05,0,0,0.00026327,0,3.29E-05,0,1.65E-05,3.29E-05,0,9.87E-05,0.000789811,4.94E-05,4.94E-05,8.23E-05,0,0,6.58E-05,0,0,0,0.022098266,8.23E-05,0.002122618,0,0.000131635,0.000230362,0,0,9.87E-05,0.000789811,0.000740448,3.29E-05,0.004755323,0,6.58E-05,0
LC2,0,0.000582251,0,0,3.23E-05,0.00826473,0,0.001536496,0,0,0,0,1.62E-05,0,0,0,4.85E-05,0,0,0,9.70E-05,0,8.09E-05,0,3.23E-05,0,0,8.09E-05,0.000469036,0.001342412,1.62E-05,0.000210257,0,0,1.62E-05,0,0,0,0.010512866,3.23E-05,0.001099808,1.62E-05,6.47E-05,0.000226431,0,1.62E-05,3.23E-05,1.62E-05,0.000339646,0,0.010448172,3.23E-05,0.000113215,0
LC3,0,0.000290239,0,0,0.00012698,0.000199539,0,0.003827526,0.000308379,0,0,0,0.000544198,0.000380939,0,0,0.000217679,0,1.81E-05,0,0.001070256,0,5.44E-05,0,5.44E-05,0,0,9.07E-05,0.000906997,0,0.000181399,9.07E-05,0,1.81E-05,5.44E-05,1.81E-05,0,0,0.026012662,3.63E-05,0.003174488,0,7.26E-05,0.000217679,0,0,0.001904693,3.63E-05,0.000725597,0.000163259,0.001233515,0,0.000290239,0
LC4,0,6.34E-05,0,0,0,4.75E-05,0,0.001822417,0,0,0,0,1.58E-05,0,0,0,1.58E-05,0,0,0,0,0,0,0,0,0,0,6.34E-05,0.000237707,0,9.51E-05,0,0,0,1.58E-05,0,0,0,0.011980413,3.17E-05,0.000728967,0,0,6.34E-05,0,0,0,3.17E-05,0.000412025,1.58E-05,0.000396178,0,0,0
LC5,4.98E-05,0.217737917,0,0,0,0.000182694,0,0.007556884,4.98E-05,0,0,0,9.97E-05,0.001577811,0,0,4.98E-05,0.00011626,0,0,4.98E-05,3.32E-05,8.30E-05,0,1.66E-05,1.66E-05,0,0.000282345,0.000581299,6.64E-05,9.97E-05,0.000166085,0,0,4.98E-05,0,0,0,0.021973094,0.000132868,0.001777113,0,0.000166085,0.000249128,0,1.66E-05,3.32E-05,0.011642584,0.000631124,0,0.001909982,0,3.32E-05,0
LC6,0,0.025560064,0,0,0,0.000423355,0,0.00347504,3.53E-05,1.76E-05,0,0,3.53E-05,0.000282237,0,0,0.000105839,0.000423355,1.76E-05,0,1.76E-05,0,5.29E-05,0,0,0,0,0.005221379,0.000617393,0.000246957,0.000123479,0.000158758,0,0,7.06E-05,0,0,0,0.008908097,0.000317516,0.001023108,0,0.000141118,0.000299877,0,0,0,7.06E-05,0.000405715,0,0.140730288,0,1.76E-05,1
LC7,0,0.021951267,0.00017391,0,1.93E-05,0.010936987,0,0.003149698,5.80E-05,0,0,5.80E-05,7.73E-05,0,0,0,0.000193233,3.86E-05,0.00023188,0,0.00011594,0,0,0,1.93E-05,0,0,0.000367143,0.001391277,0.000869548,0.00017391,0.004830825,0,0,0.015980368,0,9.66E-05,0,0.018202547,3.86E-05,0.002338119,0,0.000328496,0.000212556,0,0,0.000637669,0.00011594,0.000656992,1.93E-05,0.21935808,7.73E-05,0.000135263,1
LC8,0,0.046752096,3.69E-05,0,0.000258503,0.018501422,0,0.006758004,0.000350825,0,0,0,0.00053547,5.54E-05,0,0,0.000646257,3.69E-05,3.69E-05,0,0.001680269,1.85E-05,0,0,5.54E-05,0,0,0.000295432,0.000590864,0.002529636,0.000147716,0.001994165,0,0,0.125115403,0,0,0,0.021954282,0.000498541,0.002141881,0,0.000350825,0.000350825,0,0,0.004302227,0.010100078,0.000923225,1.85E-05,0.004597659,0,0.001089405,1
LC9,0,0.004169108,1.36E-05,0,0,0.045151709,0,0.007656989,0.000217993,0,0,0,6.81E-05,8.17E-05,0,0,9.54E-05,0,0,0,0.00059948,0,0.000204368,0,0.000640353,0,0,0.000177119,0.002234424,0.000354238,0.00029974,0.016363067,0,0,0.006294535,0,0,0,0.076447266,5.45E-05,0.007084758,0,6.81E-05,0.000217993,0,0,0.001212584,6.81E-05,0.002575037,0,0.04263117,0.000204368,0.000286115,1
LC10,1.81E-05,0.001413351,0,0,0,0.03817859,0,0.004022614,1.81E-05,1.81E-05,0,0,3.62E-05,0,0,0,0.000126839,0,0,0,0.000163079,0,0.000144959,0,1.81E-05,0,1.81E-05,0.002029427,0.001286512,0.000126839,0.000126839,0.000271798,0,0,0.000525477,0,0,0,0.032162789,5.44E-05,0.003623976,0,0.000924114,0.000362398,0,0,1.81E-05,3.62E-05,0.000616076,0,0.026418787,3.62E-05,0.001648909,0
